Gunung,M1,M2,M3,M4,M5,M6,M7,M8,M9,Min,Best Method,Max,Worst Method
Agung,0.46,0.31,0.31,0.42,0.18,0.29,0.39,0.18,0.41,0.18,Metode 5,0.46,Metode 1
Ambang,0.64,0.45,0.79,0.25,0.35,0.33,0.39,0.2,0.3,0.2,Metode 8,0.79,Metode 3
Anak Krakatau,0.17,0.4,0.27,0.2,0.73,0.26,0.56,0.06,0.08,0.06,Metode 8,0.73,Metode 5
Anak Ranakah,1.1,0.29,0.45,0.46,0.15,0.29,0.3,0.16,0.3,0.15,Metode 5,1.1,Metode 1
Arjuno Welirang,2.39,3.48,2.39,2.47,2.21,2.07,2.11,1.79,1.62,1.62,Metode 9,3.48,Metode 2
Awu,0.28,0.36,0.41,0.27,0.29,0.26,0.27,0.29,0.24,0.24,Metode 9,0.41,Metode 3
Banda Api,0.37,1.03,0.09,0.08,0.11,0.04,0.04,0.21,0.15,0.04,Metode 6,1.03,Metode 2
Batur,0.91,0.73,1.24,1.09,0.98,1.04,1.07,0.98,1.07,0.73,Metode 2,1.24,Metode 3
Batutara,0.21,0.68,0.39,0.18,0.16,0.19,0.32,0.15,0.28,0.15,Metode 8,0.68,Metode 2
Bromo,0.21,0.53,0.8,0.74,0.76,0.42,0.33,1.1,0.1,0.1,Metode 9,1.1,Metode 8
Bur Ni Telong,0.14,0.16,0.16,0.26,0.08,0.36,0.37,0.01,0.52,0.01,Metode 8,0.52,Metode 9
Ciremai,2.6,6.18,1.18,1.24,0.36,0.44,0.43,0.47,0.53,0.36,Metode 5,6.18,Metode 2
Colo,0.26,2.08,0.37,0.21,0.08,0.09,0.33,0.08,0.5,0.08,Metode 5,2.08,Metode 2
Dempo,1.1,0.21,0.21,0.44,0.1,0.24,0.21,0.11,0.21,0.1,Metode 5,1.1,Metode 1
Dieng,3.81,4.02,4.31,2.85,5.67,5.87,6.34,5.95,6.51,2.85,Metode 4,6.51,Metode 9
Dukono,0.04,0.03,0.03,1.41,0.24,0.14,0.2,0.02,0.03,0.02,Metode 8,1.41,Metode 4
Ebulobo,0.14,0.14,0.14,0.03,0.04,0.21,0.24,0.06,0.24,0.03,Metode 4,0.24,Metode 7
Egon,0.19,0.19,0.57,0.44,0.17,0.15,0.17,0.17,0.16,0.15,Metode 6,0.57,Metode 3
Galunggung,1.83,0.71,2.96,1.89,3.14,3.11,3.09,3.12,3.08,0.71,Metode 2,3.14,Metode 5
Gamalama,0.33,0.33,0.21,0.51,0.31,0.33,0.36,0.34,0.44,0.21,Metode 3,0.51,Metode 4
Gamkonora,0.56,0.57,0.49,0.71,0.58,0.68,0.65,0.56,0.69,0.49,Metode 3,0.71,Metode 4
Gede,3.67,6.27,2.58,2.39,0.26,0.15,0.03,0.07,0.2,0.03,Metode 7,6.27,Metode 2
Guntur,1.02,1.0,2.28,2.14,2.34,2.47,2.65,1.48,0.99,0.99,Metode 9,2.65,Metode 7
Ibu,0.1,0.1,0.1,0.49,0.37,0.25,0.23,0.21,0.38,0.1,Metode 1,0.49,Metode 4
Ijen,1.91,2.94,1.24,0.74,1.45,1.64,1.57,1.34,1.48,0.74,Metode 4,2.94,Metode 2
Ile Werung,0.67,0.88,0.5,0.78,0.18,0.16,0.1,0.43,0.26,0.1,Metode 7,0.88,Metode 2
Ili Boleng,1.04,0.15,0.7,0.44,0.26,0.37,0.4,0.35,0.53,0.15,Metode 2,1.04,Metode 1
Ili Lewotolok,0.62,0.11,0.11,0.55,0.1,0.1,0.16,0.08,0.19,0.08,Metode 8,0.62,Metode 1
Inielika,1.07,3.61,0.67,1.08,1.07,0.91,0.86,1.04,0.81,0.67,Metode 3,3.61,Metode 2
Inierie,0.42,0.55,0.5,0.1,0.25,0.45,0.5,0.36,0.57,0.1,Metode 4,0.57,Metode 9
Iya,0.65,0.84,0.62,0.58,0.24,0.38,0.46,0.27,0.48,0.24,Metode 5,0.84,Metode 2
Kaba,1.65,0.44,1.05,1.27,0.53,0.42,0.36,0.45,0.32,0.32,Metode 9,1.65,Metode 1
Karangetang,0.5,0.52,0.86,0.4,0.19,0.89,0.59,0.4,0.74,0.19,Metode 5,0.89,Metode 6
Kelimutu,1.32,0.15,0.46,2.11,0.16,0.26,0.2,0.13,0.17,0.13,Metode 8,2.11,Metode 4
Kelud,0.54,1.12,1.19,0.92,0.62,0.59,0.67,0.55,0.6,0.54,Metode 1,1.19,Metode 3
Kerinci,0.25,0.24,0.24,0.52,0.37,0.35,0.39,0.24,0.38,0.24,Metode 2,0.52,Metode 4
Kie Besi,0.26,0.33,0.26,0.36,0.45,0.64,0.63,0.23,0.48,0.23,Metode 8,0.64,Metode 6
Lamongan,1.18,1.32,0.65,0.72,0.9,1.08,1.06,0.98,1.18,0.65,Metode 3,1.32,Metode 2
Lereboleng,0.12,0.84,0.51,1.75,0.9,1.08,1.16,0.9,1.17,0.12,Metode 1,1.75,Metode 4
Lewotobi Laki-laki,0.19,0.19,0.19,0.07,0.05,0.14,0.13,0.05,0.13,0.05,Metode 5,0.19,Metode 1
Lewotobi Perempuan,0.5,0.46,0.75,0.54,0.16,0.33,0.38,0.19,0.37,0.16,Metode 5,0.75,Metode 3
Lokon,0.28,0.28,0.41,0.43,0.26,0.16,0.16,0.76,0.78,0.16,Metode 6,0.78,Metode 9
Mahawu,0.7,0.02,0.3,0.53,0.11,0.04,0.06,0.11,0.06,0.02,Metode 2,0.7,Metode 1
Marapi,0.02,1.09,1.01,0.77,0.51,0.51,0.71,0.52,0.7,0.02,Metode 1,1.09,Metode 2
Merapi,0.5,0.8,1.06,0.74,0.26,0.21,0.38,0.37,0.38,0.21,Metode 6,1.06,Metode 3
Papandayan,0.87,0.95,0.8,0.98,1.16,0.89,0.51,1.04,0.37,0.37,Metode 9,1.16,Metode 5
Peut Sague,0.73,3.24,0.41,1.19,0.93,0.66,1.63,0.04,1.46,0.04,Metode 8,3.24,Metode 2
Raung,0.68,0.65,0.65,0.23,0.65,0.41,0.37,0.65,0.37,0.23,Metode 4,0.68,Metode 1
Rinjani,2.61,0.63,5.47,1.56,1.85,1.6,1.89,0.39,1.42,0.39,Metode 8,5.47,Metode 3
Rokatenda,1.0,4.4,0.53,1.03,0.26,0.26,0.08,0.19,0.1,0.08,Metode 7,4.4,Metode 2
Ruang,0.36,0.51,0.36,0.5,0.27,0.64,0.43,0.27,0.43,0.27,Metode 5,0.64,Metode 6
Salak,0.69,1.98,0.79,0.82,0.75,1.09,1.1,0.78,1.12,0.69,Metode 1,1.98,Metode 2
