nama_gunung,lat,lon
Agung,-8.33847687754684,115.50758010453416
Ambang,0.7513958194017738,124.41841856535775
Anak_Krakatau,-6.1060735649814175,105.42165542055382
Anak_Ranakah,-8.631417491698215,120.531498162501
Arjuno_Welirang,-7.747475252124607,112.58778593656048
Awu,3.683227412182656,125.44995400611221
Banda_Api,-4.522972539777585,129.88089414503176
Batur,-8.238045228782278,115.37525826318337
Batutara,-7.790235059648697,123.59062103104162
Bromo,-7.9444757939320185,112.952501941913
Bur_Ni_Telong,4.7662363187171515,96.82334084707541
Ciremai,-6.892189270114411,108.40936222400694
Colo,-0.16955700987755967,121.604805263967
Dempo,-4.014346425909111,103.11837503207138
Dieng,-7.2088454077665425,109.8986791335487
Dukono,1.698848949562633,127.87684257768952
Ebulobo,-8.814583978130186,121.1929277061982
Egon,-8.675973929790544,122.45470135427249
Galunggung,-7.231033795284294,108.0648583125471
Gamalama,0.8096964813411307,127.33282284162672
Gamkonora,1.379767360643379,127.53233866622966
Gede,-6.787894865628134,106.98157991142737
Guntur,-7.15072440888401,107.82779290906797
Ibu,1.4950212115959136,127.63339913569313
Ijen,-8.05496857387872,114.25541842999996
Ile_Werung,-8.530896011405241,123.57328354605812
Ili_Boleng,-8.340543002700315,123.25519010395139
Ili_Lewotolok,-8.271193062766288,123.51058113922657
Inielika,-8.734454254786726,120.97275063006052
Inierie,-8.8740524499389,120.95783859634413
Iya,-8.896330668985064,121.63965989699085
Kaba,-3.513894981126126,102.62825421305577
Karangetang,2.7780849319038263,125.40126531771293
Kelimutu,-8.765356300560436,121.81617885032033
Kelud,-7.935312978033999,112.30679291568791
Kerinci,-1.6947166992556832,101.26757605219993
Kie_Besi,0.3202943145528154,127.3957049115151
Lamongan,-7.971515083984015,113.34084363923787
Lereboleng,-8.355544867945111,122.82687337648319
Lewotobi_Laki_Laki,-8.536555397695194,122.76803372537337
Lewotobi_Perempuan,-8.549491137786516,122.78267626450452
Lokon,1.3642265062281114,124.79759744678461
Mahawu,1.3530873967050292,124.8621863157128
Marapi,-0.39323751562332054,100.46052960094696
Merapi,-7.540952568305529,110.44728027756048
Papandayan,-7.319697513826891,107.72978671157053
Peut_Sague,4.903588725659025,96.29046022053572
Raung,-8.117850643767085,114.05563311081178
Rinjani,-8.412048899316229,116.44066019014912
Rokatenda,-8.332368333614827,121.70757253247028
Ruang,2.3042236195307786,125.36847680984256
Salak,-6.711358403421151,106.73831613248781
Sangeangapi,-8.197082051826428,119.07236464650566
Semeru,-8.109945469266833,112.92833726077019
Seulawah_Agam,5.446979641022925,95.65813609204399
Sinabung,3.1696605642515254,98.39718922485281
Sirung,-8.499544807989471,124.12431014133703
Slamet,-7.240286442710725,109.21865446347022
Soputan,1.1135965419587648,124.73929678484525
Sorikmarapi,0.683213689337102,99.54002592930968
Sumbing,-7.379794806334488,110.07870151648625
Sundoro,-7.29894643076373,109.99839213008597
Talang,-0.9840594779887298,100.6797185302721
Tambora,-8.233733315418505,117.99294900110763
Tandikat,-0.42845147476080575,100.32533315068696
Tangkoko,1.5059806580621717,125.2183683258662
Tangkuban_Parahu,-6.800650942662632,107.58722407598076
Wurlali,-7.122517308962656,128.68290088212996
