nama_gunung,lat,lon
Agung,-8.341531149512846,115.50371734881244
Ambang,0.7513958194017738,124.42183216343741
Anak_Krakatau,-6.100144684106229,105.42506901863348
Anak_Ranakah,-8.636088731175636,120.53625923350683
Arjuno_Welirang,-7.753314301471384,112.5849113276513
Awu,3.682418928426949,125.44977434305538
Banda_Api,-4.521984392965053,129.88080431350335
Batur,-8.238763881009573,115.37642607305271
Batutara,-7.791492701046463,123.58819557977449
Bromo,-7.945733435329785,112.95717318139043
Bur_Ni_Telong,4.770368569024101,96.82280185790493
Ciremai,-6.906562314660324,108.40514014217158
Colo,-0.17054515669009115,121.60866801968872
Dempo,-4.015783730363703,103.11576991774743
Dieng,-7.210192880692722,109.8655312995647
Dukono,1.6884284922668467,127.88115449105328
Ebulobo,-8.815931451056365,121.19122090715838
Egon,-8.676063761318956,122.45784545776691
Galunggung,-7.243789872318791,108.06467864949028
Gamalama,0.8043964211648255,127.3319245263426
Gamkonora,1.3803063498138506,127.53449462291155
Gede,-6.772084516627631,106.96702720382463
Guntur,-7.146771821633883,107.83390145299997
Ibu,1.4928652549140269,127.63438728250566
Ijen,-8.061795770038028,114.24715392938606
Ile_Werung,-8.537543544507725,123.57463101898429
Ili_Boleng,-8.346022725933445,123.25510027242298
Ili_Lewotolok,-8.271552388879936,123.5047420898798
Inielika,-8.737598358281144,120.9672709068274
Inierie,-8.878184700245848,120.95487415590654
Iya,-8.897139152740772,121.64064804380338
Kaba,-3.5200035250581387,102.61486931532238
Karangetang,2.778354426489062,125.4100688074973
Kelimutu,-8.775866589384634,121.83127054709354
Kelud,-7.935492641090823,112.30912853542661
Kerinci,-1.6962438352386866,101.2636234649498
Kie_Besi,0.32334858651882176,127.3965133952708
Lamongan,-7.977174470273969,113.34569454177212
Lereboleng,-8.377823086991276,122.84079726338705
Lewotobi_Laki_Laki,-8.53826219673502,122.76740490467448
Lewotobi_Perempuan,-8.55559968171853,122.78249660144769
Lokon,1.3618010549609887,124.7967889630289
Mahawu,1.3514704291936142,124.86658806060498
Marapi,-0.38272722679912213,100.46636865029373
Merapi,-7.537988127867934,110.45069387564014
Papandayan,-7.320955155224658,107.72385783069534
Peut_Sague,4.9091582804205665,96.31525372237742
Raung,-8.115874350142022,114.05545344775496
Rinjani,-8.413306540713997,116.43769574971152
Rokatenda,-8.324373327586162,121.71341158181706
Ruang,2.3042236195307786,125.36928529359827
Salak,-6.70902278368244,106.73562118663546
Sangeangapi,-8.194566769030892,119.0659866079884
Semeru,-8.107340354942886,112.92088124391199
Seulawah_Agam,5.448327113949104,95.6619988477657
Sinabung,3.1732538253880036,98.39099084939238
Sirung,-8.50089228091565,124.13284413653616
Slamet,-7.241094926466433,109.20985097368585
Soputan,1.1174592976804787,124.7418120676408
Sorikmarapi,0.6752186833084383,99.5417327283495
Sumbing,-7.384735540397145,110.07214381491217
Sundoro,-7.300832892860381,109.99542768964838
Talang,-0.9797475646249562,100.6729811656412
Tambora,-8.240919837691461,117.99106253901098
Tandikat,-0.42997861074380894,100.32281786789143
Tangkoko,1.5075976255735868,125.2243870382698
Tangkuban_Parahu,-6.7569029883260106,107.57904940689527
Wurlali,-7.121080004508065,128.6786788002946
